[initialisation-phase1]
report.type: initialisation
initialisation.initialisation_phase: Phase1
years: 60
lambda: 1e-010
lambda_hat: 0.00917615 0.000165044 3.02189e-006 5.53476e-008 1.01373e-009 1.85672e-011
lambda_years: 10 20 30 40 50 60
row column category age[1]
13 18 stock 1.20905e-011
13 19 stock 1.20905e-011
13 20 stock 1.20905e-011
13 21 stock 1.20905e-011
13 22 stock 1.20905e-011
13 23 stock 1.20905e-011
13 24 stock 1.20905e-011
13 25 stock 1.20905e-011
13 26 stock 1.20905e-011
13 27 stock 1.20905e-011
13 28 stock 1.20905e-011
13 29 stock 1.20905e-011
13 30 stock 1.20905e-011
13 31 stock 1.20905e-011
14 1 stock 1.20905e-011
14 2 stock 1.20905e-011
14 3 stock 1.20905e-011
14 4 stock 1.20905e-011
14 5 stock 1.20905e-011
14 6 stock 1.20905e-011
14 7 stock 1.20905e-011
14 8 stock 1.20905e-011
14 9 stock 1.20905e-011
14 10 stock 1.20905e-011
14 11 stock 1.20905e-011
14 12 stock 1.20905e-011
14 13 stock 1.20905e-011
14 14 stock 1.20905e-011
14 15 stock 1.20905e-011
14 16 stock 1.20905e-011
14 17 stock 1.20905e-011
14 18 stock 1.20905e-011
14 19 stock 1.20905e-011
14 20 stock 1.20905e-011
14 21 stock 1.20905e-011
14 22 stock 1.20905e-011
14 23 stock 1.20905e-011
14 24 stock 1.20905e-011
14 25 stock 1.20905e-011
14 26 stock 1.20905e-011
14 27 stock 1.20905e-011
14 28 stock 1.20905e-011
14 29 stock 1.20905e-011
14 30 stock 1.20905e-011
14 31 stock 1.20905e-011
15 1 stock 1.20905e-011
15 2 stock 1.20905e-011
15 3 stock 1.20905e-011
15 4 stock 1.20905e-011
15 5 stock 1.20905e-011
15 6 stock 1.20905e-011
15 7 stock 1.20905e-011
15 8 stock 1.20905e-011
15 9 stock 1.20905e-011
15 10 stock 1.20905e-011
15 11 stock 1.20905e-011
15 15 stock 1.20905e-011
15 16 stock 1.20905e-011
15 17 stock 1.20905e-011
15 18 stock 1.20905e-011
15 19 stock 1.20905e-011
15 20 stock 1.20905e-011
15 21 stock 1.20905e-011
15 22 stock 1.20905e-011
15 23 stock 1.20905e-011
15 24 stock 1.20905e-011
15 25 stock 1.20905e-011
15 26 stock 1.20905e-011
15 27 stock 1.20905e-011
15 28 stock 1.20905e-011
15 29 stock 1.20905e-011
15 30 stock 1.20905e-011
15 31 stock 1.20905e-011
16 1 stock 1.20905e-011
16 2 stock 1.20905e-011
16 3 stock 1.20905e-011
16 4 stock 1.20905e-011
16 5 stock 1.20905e-011
16 6 stock 1.20905e-011
16 7 stock 1.20905e-011
16 8 stock 1.20905e-011
16 9 stock 1.20905e-011
16 15 stock 1.20905e-011
16 16 stock 1.20905e-011
16 17 stock 1.20905e-011
16 18 stock 1.20905e-011
16 19 stock 1.20905e-011
16 20 stock 1.20905e-011
16 21 stock 1.20905e-011
16 22 stock 1.20905e-011
16 23 stock 1.20905e-011
16 24 stock 1.20905e-011
16 25 stock 1.20905e-011
16 26 stock 1.20905e-011
16 27 stock 1.20905e-011
16 28 stock 1.20905e-011
16 29 stock 1.20905e-011
16 30 stock 1.20905e-011
16 31 stock 1.20905e-011
17 1 stock 1.20905e-011
17 2 stock 1.20905e-011
17 3 stock 1.20905e-011
17 4 stock 1.20905e-011
17 5 stock 1.20905e-011
17 6 stock 1.20905e-011
17 7 stock 1.20905e-011
17 8 stock 1.20905e-011
17 14 stock 1.20905e-011
17 15 stock 1.20905e-011
17 16 stock 1.20905e-011
17 17 stock 1.20905e-011
17 18 stock 1.20905e-011
17 19 stock 1.20905e-011
17 20 stock 1.20905e-011
17 21 stock 1.20905e-011
17 22 stock 1.20905e-011
17 23 stock 1.20905e-011
17 24 stock 1.20905e-011
17 25 stock 1.20905e-011
17 26 stock 1.20905e-011
17 27 stock 1.20905e-011
17 28 stock 1.20905e-011
17 29 stock 1.20905e-011
17 30 stock 1.20905e-011
17 31 stock 1.20905e-011
18 1 stock 1.20905e-011
18 2 stock 1.20905e-011
18 3 stock 1.20905e-011
18 4 stock 1.20905e-011
18 5 stock 1.20905e-011
18 6 stock 1.20905e-011
18 7 stock 1.20905e-011
18 8 stock 1.20905e-011
18 12 stock 1.20905e-011
18 13 stock 1.20905e-011
18 14 stock 1.20905e-011
18 15 stock 1.20905e-011
18 16 stock 1.20905e-011
18 17 stock 1.20905e-011
18 18 stock 1.20905e-011
18 19 stock 1.20905e-011
18 20 stock 1.20905e-011
18 21 stock 1.20905e-011
18 22 stock 1.20905e-011
18 23 stock 1.20905e-011
18 24 stock 1.20905e-011
18 25 stock 1.20905e-011
18 26 stock 1.20905e-011
18 27 stock 1.20905e-011
18 28 stock 1.20905e-011
18 29 stock 1.20905e-011
18 30 stock 1.20905e-011
18 31 stock 1.20905e-011
19 1 stock 1.20905e-011
19 2 stock 1.20905e-011
19 3 stock 1.20905e-011
19 4 stock 1.20905e-011
19 5 stock 1.20905e-011
19 6 stock 1.20905e-011
19 7 stock 1.20905e-011
19 8 stock 1.20905e-011
19 11 stock 1.20905e-011
19 12 stock 1.20905e-011
19 13 stock 1.20905e-011
19 14 stock 1.20905e-011
19 15 stock 1.20905e-011
19 16 stock 1.20905e-011
19 17 stock 1.20905e-011
19 18 stock 1.20905e-011
19 19 stock 1.20905e-011
19 20 stock 1.20905e-011
19 21 stock 1.20905e-011
19 22 stock 1.20905e-011
19 23 stock 1.20905e-011
19 24 stock 1.20905e-011
19 25 stock 1.20905e-011
19 26 stock 1.20905e-011
19 27 stock 1.20905e-011
19 28 stock 1.20905e-011
19 29 stock 1.20905e-011
19 30 stock 1.20905e-011
19 31 stock 1.20905e-011
20 1 stock 1.20905e-011
20 2 stock 1.20905e-011
20 3 stock 1.20905e-011
20 4 stock 1.20905e-011
20 5 stock 1.20905e-011
20 6 stock 1.20905e-011
20 7 stock 1.20905e-011
20 8 stock 1.20905e-011
20 9 stock 1.20905e-011
20 10 stock 1.20905e-011
20 11 stock 1.20905e-011
20 12 stock 1.20905e-011
20 13 stock 1.20905e-011
20 14 stock 1.20905e-011
20 15 stock 1.20905e-011
20 16 stock 1.20905e-011
20 17 stock 1.20905e-011
20 18 stock 1.20905e-011
20 19 stock 1.20905e-011
20 20 stock 1.20905e-011
20 21 stock 1.20905e-011
20 22 stock 1.20905e-011
20 23 stock 1.20905e-011
20 24 stock 1.20905e-011
20 25 stock 1.20905e-011
20 26 stock 1.20905e-011
20 27 stock 1.20905e-011
20 28 stock 1.20905e-011
20 29 stock 1.20905e-011
20 30 stock 1.20905e-011
20 31 stock 1.20905e-011
21 1 stock 1.20905e-011
21 2 stock 1.20905e-011
21 3 stock 1.20905e-011
21 4 stock 1.20905e-011
21 5 stock 1.20905e-011
21 6 stock 1.20905e-011
21 7 stock 1.20905e-011
21 8 stock 1.20905e-011
21 9 stock 1.20905e-011
21 10 stock 1.20905e-011
21 11 stock 1.20905e-011
21 12 stock 1.20905e-011
21 13 stock 1.20905e-011
21 14 stock 1.20905e-011
21 15 stock 1.20905e-011
21 16 stock 1.20905e-011
21 17 stock 1.20905e-011
21 18 stock 1.20905e-011
21 19 stock 1.20905e-011
21 20 stock 1.20905e-011
21 21 stock 1.20905e-011
21 22 stock 1.20905e-011
21 23 stock 1.20905e-011
21 24 stock 1.20905e-011
21 25 stock 1.20905e-011
21 26 stock 1.20905e-011
21 27 stock 1.20905e-011
21 28 stock 1.20905e-011
21 29 stock 1.20905e-011
21 30 stock 1.20905e-011
21 31 stock 1.20905e-011
22 1 stock 1.20905e-011
22 2 stock 1.20905e-011
22 3 stock 1.20905e-011
22 4 stock 1.20905e-011
22 5 stock 1.20905e-011
22 6 stock 1.20905e-011
22 7 stock 1.20905e-011
22 8 stock 1.20905e-011
22 9 stock 1.20905e-011
22 10 stock 1.20905e-011
22 11 stock 1.20905e-011
22 12 stock 1.20905e-011
22 13 stock 1.20905e-011
22 14 stock 1.20905e-011
22 15 stock 1.20905e-011
22 16 stock 1.20905e-011
22 17 stock 1.20905e-011
22 18 stock 1.20905e-011
22 19 stock 1.20905e-011
22 20 stock 1.20905e-011
22 21 stock 1.20905e-011
22 22 stock 1.20905e-011
22 23 stock 1.20905e-011
22 24 stock 1.20905e-011
22 25 stock 1.20905e-011
22 26 stock 1.20905e-011
22 27 stock 1.20905e-011
22 28 stock 1.20905e-011
22 29 stock 1.20905e-011
22 30 stock 1.20905e-011
22 31 stock 1.20905e-011
23 1 stock 1.20905e-011
23 2 stock 1.20905e-011
23 3 stock 1.20905e-011
23 4 stock 1.20905e-011
23 5 stock 1.20905e-011
23 6 stock 1.20905e-011
23 7 stock 1.20905e-011
23 8 stock 1.20905e-011
23 9 stock 1.20905e-011
23 10 stock 1.20905e-011
23 11 stock 1.20905e-011
23 12 stock 1.20905e-011
23 13 stock 1.20905e-011
23 14 stock 1.20905e-011
23 15 stock 1.20905e-011
23 16 stock 1.20905e-011
23 17 stock 1.20905e-011
23 18 stock 1.20905e-011
23 19 stock 1.20905e-011
23 20 stock 1.20905e-011
23 21 stock 1.20905e-011
23 22 stock 1.20905e-011
23 23 stock 1.20905e-011
23 24 stock 1.20905e-011
23 25 stock 1.20905e-011
23 26 stock 1.20905e-011
23 27 stock 1.20905e-011
23 28 stock 1.20905e-011
23 29 stock 1.20905e-011
23 30 stock 1.20905e-011
23 31 stock 1.20905e-011
24 1 stock 1.20905e-011
24 2 stock 1.20905e-011
24 3 stock 1.20905e-011
24 4 stock 1.20905e-011
24 5 stock 1.20905e-011
24 6 stock 1.20905e-011
24 7 stock 1.20905e-011
24 8 stock 1.20905e-011
24 9 stock 1.20905e-011
24 10 stock 1.20905e-011
24 11 stock 1.20905e-011
24 12 stock 1.20905e-011
24 13 stock 1.20905e-011
24 14 stock 1.20905e-011
24 15 stock 1.20905e-011
24 16 stock 1.20905e-011
24 17 stock 1.20905e-011
24 18 stock 1.20905e-011
24 19 stock 1.20905e-011
24 20 stock 1.20905e-011
24 21 stock 1.20905e-011
24 22 stock 1.20905e-011
24 23 stock 1.20905e-011
24 24 stock 1.20905e-011
24 25 stock 1.20905e-011
24 26 stock 1.20905e-011
24 27 stock 1.20905e-011
24 28 stock 1.20905e-011
24 29 stock 1.20905e-011
24 30 stock 1.20905e-011
24 31 stock 1.20905e-011
25 1 stock 1.20905e-011
25 2 stock 1.20905e-011
25 3 stock 1.20905e-011
25 4 stock 1.20905e-011
25 5 stock 1.20905e-011
25 6 stock 1.20905e-011
25 7 stock 1.20905e-011
25 8 stock 1.20905e-011
25 9 stock 1.20905e-011
25 10 stock 1.20905e-011
25 11 stock 1.20905e-011
25 12 stock 1.20905e-011
25 13 stock 1.20905e-011
25 14 stock 1.20905e-011
25 15 stock 1.20905e-011
25 16 stock 1.20905e-011
25 17 stock 1.20905e-011
25 18 stock 1.20905e-011
25 19 stock 1.20905e-011
25 20 stock 1.20905e-011
25 21 stock 1.20905e-011
25 22 stock 1.20905e-011
25 23 stock 1.20905e-011
25 24 stock 1.20905e-011
25 25 stock 1.20905e-011
25 26 stock 1.20905e-011
25 27 stock 1.20905e-011
25 28 stock 1.20905e-011
25 29 stock 1.20905e-011
25 30 stock 1.20905e-011
25 31 stock 1.20905e-011
26 1 stock 1.20905e-011
26 2 stock 1.20905e-011
26 3 stock 1.20905e-011
26 4 stock 1.20905e-011
26 5 stock 1.20905e-011
26 6 stock 1.20905e-011
26 7 stock 1.20905e-011
26 8 stock 1.20905e-011
26 9 stock 1.20905e-011
26 10 stock 1.20905e-011
26 11 stock 1.20905e-011
26 12 stock 1.20905e-011
26 13 stock 1.20905e-011
26 14 stock 1.20905e-011
26 15 stock 1.20905e-011
26 16 stock 1.20905e-011
26 17 stock 1.20905e-011
26 18 stock 1.20905e-011
26 19 stock 1.20905e-011
26 20 stock 1.20905e-011
26 21 stock 1.20905e-011
26 22 stock 1.20905e-011
26 23 stock 1.20905e-011
26 24 stock 1.20905e-011
26 25 stock 1.20905e-011
26 26 stock 1.20905e-011
26 27 stock 1.20905e-011
26 28 stock 1.20905e-011
26 29 stock 1.20905e-011
26 30 stock 1.20905e-011
26 31 stock 1.20905e-011
*end

